pidx,Year,Patient services,Claim lines,Paid (dollars),YoY growth (percent)
7079,2019,20083,26990,1099064,48.5
7079,2020,30233,39461,1523379,38.6
7079,2021,33930,41962,1626638,6.8
7079,2022,24982,27984,983898,-39.5
7079,2023,9115,11227,356909,-63.7
7079,2024,3501,3859,96528,-73.0
5052,2018,16045,102369,1067681,
5052,2019,21482,152325,1461433,36.9
5052,2020,16181,73128,664886,-54.5
5052,2021,26035,132166,1324513,99.2
5052,2022,28480,190027,1984875,49.9
5052,2023,20641,186363,2039689,2.8
5052,2024,7514,75481,1198073,-41.3
18546,2019,1088,2311,188959,
18546,2020,1786,5676,519796,175.1
18546,2021,1221,3808,367671,-29.3
18546,2022,647,2032,207038,-43.7
18546,2023,431,1445,127755,-38.3
18546,2024,82,339,35513,-72.2
3585,2018,14309,130092,2464104,
3585,2019,14949,147619,2636797,7.0
3585,2020,6915,64758,1130076,-57.1
3585,2021,14033,108248,2078072,83.9
3585,2022,14539,149858,2380380,14.5
3585,2023,9715,135226,2162317,-9.2
3585,2024,7182,95723,1383870,-36.0
40488,2020,96,222,19378,
40488,2021,441,1064,90377,366.4
40488,2022,302,512,49515,-45.2
40488,2023,242,666,61710,24.6
40488,2024,146,385,38167,-38.2
32063,2018,1717,2015,78108,
32063,2019,2551,3448,136290,74.5
32063,2020,3112,4150,180149,32.2
32063,2021,1581,1685,69409,-61.5
16461,2018,759,3738,331489,
16461,2019,676,3341,253423,-23.6
16461,2020,457,2289,161917,-36.1
16461,2021,598,3723,265169,63.8
16461,2022,643,3831,285414,7.6
16461,2023,634,3555,302871,6.1
16461,2024,447,2171,197040,-34.9
18143,2018,2032,22360,295228,
18143,2019,1786,21600,301016,2.0
18143,2020,1050,7009,92930,-69.1
18143,2021,1572,10971,138456,49.0
18143,2022,2277,20181,308786,123.0
18143,2023,1251,25795,333040,7.9
18143,2024,121,2656,35940,-89.2
13567,2018,4913,7232,299923,
13567,2019,6175,9177,380574,26.9
13567,2020,5726,9546,397454,4.4
13567,2021,5482,9277,391114,-1.6
13567,2022,5124,9067,336585,-13.9
13567,2023,5301,8797,311163,-7.6
13567,2024,5294,9856,377979,21.5
18415,2018,38,43,2380,
18415,2019,13,15,33,-98.6
18415,2020,1937,2406,81523,249817.2
18415,2021,8277,11789,523904,542.6
18415,2022,6570,9776,483422,-7.7
18415,2023,5017,8210,324646,-32.8
18415,2024,766,1251,47386,-85.4
48289,2018,144,154,3881,
48289,2019,78,81,2211,-43.0
48289,2020,412,420,66517,2908.4
48289,2021,456,465,83813,26.0
7036,2018,2113,2141,155240,
7036,2019,3363,3397,361881,133.1
7036,2020,6166,6419,574701,58.8
7036,2021,7880,8450,616663,7.3
7036,2022,16272,18700,1076818,74.6
7036,2023,18302,20401,1635159,51.9
7036,2024,30702,34175,2046812,25.2
27339,2020,12,62,5003,
27339,2021,76,416,32062,540.8
27339,2022,405,1815,140625,338.6
27339,2023,897,4093,312623,122.3
27339,2024,443,2381,178592,-42.9
44915,2018,37,63,2761,
44915,2019,489,639,15675,467.7
44915,2020,1617,2262,46658,197.7
44915,2021,3202,4261,112249,140.6
44915,2022,575,661,16235,-85.5
46017,2018,1323,1323,4731,
46017,2019,2071,2071,17242,264.4
46017,2020,1878,1878,21609,25.3
46017,2021,2299,2299,23584,9.1
46017,2022,2544,2544,29282,24.2
46017,2023,3075,3075,36191,23.6
46017,2024,3055,3055,47641,31.6
49767,2019,182,945,72930,
49767,2020,36,131,10136,-86.1
49767,2021,66,309,23790,134.7
49767,2022,88,458,35894,50.9
2983,2018,4942,5144,1398654,
2983,2019,9607,10493,2201288,57.4
2983,2020,7173,7804,2200274,-0.0
2983,2021,8451,9807,3949151,79.5
2983,2022,10377,11889,2887721,-26.9
2983,2023,9285,10557,2308840,-20.0
2983,2024,7989,9025,2243659,-2.8
43940,2018,395,666,14155,
43940,2019,745,1630,48876,245.3
43940,2020,213,482,18023,-63.1
43940,2021,391,992,33808,87.6
43940,2022,311,774,24563,-27.3
43940,2023,638,1510,47669,94.1
43940,2024,399,1004,19067,-60.0
33192,2018,2552,2553,95235,
33192,2019,3507,3512,111639,17.2
33192,2020,4018,4023,119902,7.4
33192,2021,3014,3018,101650,-15.2
46795,2018,828,841,67668,
46795,2019,545,551,32241,-52.4
46795,2020,425,434,25693,-20.3
46795,2021,499,511,32221,25.4
46795,2022,236,273,11499,-64.3
46795,2023,319,333,1213,-89.5
46795,2024,178,179,1151,-5.1
30528,2018,5470,6350,335475,
30528,2019,754,802,27613,-91.8
30528,2020,921,1253,22478,-18.6
30528,2021,729,872,14866,-33.9
30528,2022,2771,3120,15247,2.6
30528,2023,5449,5917,53232,249.1
30528,2024,4244,4579,54299,2.0
49172,2020,182,190,6926,
49172,2021,495,501,20184,191.4
49172,2022,1251,1257,51159,153.5
49172,2023,916,926,40041,-21.7
49172,2024,707,717,29981,-25.1
25020,2020,103,942,110453,
25020,2021,311,2016,233267,111.2
25020,2022,201,1129,125693,-46.1
25020,2023,361,2075,229405,82.5
25020,2024,206,1002,109587,-52.2
16789,2018,4341,4849,165673,
16789,2019,6492,7262,306298,84.9
16789,2020,8531,9169,321796,5.1
16789,2021,4777,5136,193587,-39.8
16789,2022,4569,4877,198247,2.4
16789,2023,8511,9024,214370,8.1
16789,2024,4190,4502,333205,55.4
3820,2018,790,1593,698430,
3820,2019,951,2707,1106007,58.4
3820,2020,1192,6921,1609632,45.5
3820,2021,1652,15379,2148402,33.5
3820,2022,2319,23853,3333373,55.2
3820,2023,802,18012,955224,-71.3
3820,2024,2086,21563,3435388,259.6
12088,2018,44766,56795,642706,
12088,2019,38460,42757,605132,-5.8
12088,2020,26930,28688,462457,-23.6
12088,2021,26828,28179,537458,16.2
12088,2022,22667,24088,555075,3.3
12088,2023,17438,18453,205879,-62.9
12088,2024,2615,2782,14014,-93.2
18229,2018,545,547,43752,
18229,2019,858,860,62815,43.6
18229,2020,1372,1377,140711,124.0
18229,2021,2206,2238,268394,90.7
18229,2022,2659,2685,370044,37.9
18229,2023,2806,2847,389279,5.2
18229,2024,1700,1722,217030,-44.2
46772,2018,3433,3634,63023,
