pidx,Year,Patient services,Claim lines,Paid (dollars),YoY growth (percent)
14749,2024,22994,27168,247192,-29.8
28896,2018,2649,4247,71070,
28896,2019,2519,2797,91080,28.2
28896,2020,1137,1186,39022,-57.2
28896,2021,2395,2755,92442,136.9
28896,2022,2217,2469,106570,15.3
28896,2023,2466,2684,114727,7.7
28896,2024,1637,1679,75612,-34.1
3963,2018,899,1767,885008,
3963,2019,980,4894,968045,9.4
3963,2020,1218,27486,1280706,32.3
3963,2021,2200,47919,2350350,83.5
3963,2022,2115,47651,2553496,8.6
3963,2023,2180,47608,2581835,1.1
3963,2024,1529,34566,2133148,-17.4
38333,2018,254,254,56760,
38333,2019,322,325,65698,15.7
38333,2020,364,365,85612,30.3
38333,2021,188,188,41627,-51.4
38333,2022,84,84,17623,-57.7
38333,2023,122,122,25339,43.8
38333,2024,55,55,8151,-67.8
12971,2018,1437,1474,8146,
12971,2019,1633,1660,14969,83.8
12971,2020,6083,6354,124287,730.3
12971,2021,16250,16967,585297,370.9
12971,2022,15502,15876,672461,14.9
12971,2023,14841,15090,709999,5.6
12971,2024,10116,10313,571759,-19.5
32591,2018,446,461,41673,
32591,2019,1039,1078,141210,238.8
32591,2020,255,265,14767,-89.5
32591,2021,521,523,43046,191.5
32591,2022,504,504,51716,20.1
32591,2023,1029,1043,77023,48.9
32591,2024,1233,1255,77788,1.0
35734,2020,177,220,3472,
35734,2021,3999,4900,104010,2895.5
35734,2022,4318,5194,114231,9.8
35734,2023,3865,4381,88066,-22.9
35734,2024,2574,2604,49128,-44.2
48230,2018,1948,2075,40576,
48230,2019,1920,2029,35087,-13.5
48230,2020,1150,1240,19298,-45.0
48230,2021,919,974,13451,-30.3
48230,2022,898,962,17733,31.8
48230,2023,732,802,12921,-27.1
48230,2024,699,786,17952,38.9
13700,2018,150,291,164885,
13700,2019,151,1536,162881,-1.2
13700,2020,220,4819,251418,54.4
13700,2021,358,8577,467467,85.9
13700,2022,358,8589,499368,6.8
13700,2023,316,7553,439639,-12.0
13700,2024,287,6919,469615,6.8
29757,2018,5204,6039,538467,
29757,2019,196,197,15527,-97.1
19151,2018,1039,1113,82449,
19151,2019,1530,2219,137254,66.5
19151,2020,1788,2829,142405,3.8
19151,2021,2462,3743,225577,58.4
19151,2022,3056,3851,233622,3.6
19151,2023,3883,5773,277832,18.9
19151,2024,4577,7435,260526,-6.2
4856,2018,8239,27977,1593008,
4856,2019,6993,24241,1542114,-3.2
4856,2020,6604,22587,1729755,12.2
4856,2021,5579,17673,1244743,-28.0
4856,2022,4131,14441,1099241,-11.7
4856,2023,3875,17245,1135089,3.3
4856,2024,1079,8476,1865126,64.3
28874,2018,4386,4641,37953,
28874,2019,3751,3996,49074,29.3
28874,2020,4447,4869,55214,12.5
28874,2021,5031,5408,70158,27.1
28874,2022,5422,5737,99292,41.5
28874,2023,6361,6985,139377,40.4
28874,2024,5327,5896,140496,0.8
18654,2018,352,432,316139,
18654,2019,230,267,183070,-42.1
18654,2020,274,318,239921,31.1
18654,2021,353,411,307028,28.0
18654,2022,220,258,177866,-42.1
18654,2023,200,232,135879,-23.6
18654,2024,83,102,72277,-46.8
9033,2018,18883,20081,739787,
9033,2019,15924,16622,693758,-6.2
9033,2020,15496,16472,616773,-11.1
9033,2021,17564,18665,766134,24.2
9033,2022,18997,19871,853259,11.4
9033,2023,16510,17193,809091,-5.2
9033,2024,3036,3129,173468,-78.6
52729,2018,3837,5206,28892,
52729,2019,2599,3974,38704,34.0
52729,2020,828,2511,11963,-69.1
52729,2021,1113,5659,30823,157.6
52729,2022,67,420,8410,-72.7
46469,2018,507,516,48140,
46469,2019,414,416,40990,-14.9
46469,2020,192,194,19604,-52.2
46469,2021,216,218,21537,9.9
46469,2022,336,342,31326,45.5
46469,2023,137,138,13621,-56.5
48926,2020,53,68,4763,
48926,2021,937,1236,84020,1663.9
48926,2022,227,332,26188,-68.8
48926,2023,187,253,18256,-30.3
48926,2024,157,235,17325,-5.1
30372,2018,686,736,42929,
30372,2019,1406,1484,74135,72.7
30372,2020,1799,1938,92778,25.1
30372,2021,1547,1662,104113,12.2
30372,2022,1720,1822,118356,13.7
30372,2023,968,1028,64872,-45.2
30372,2024,506,529,32296,-50.2
8751,2018,28,32,1116,
8751,2019,13,14,394,-64.7
8751,2020,4496,5573,191688,48588.8
8751,2021,28707,37342,1304386,580.5
8751,2022,27592,35060,1477539,13.3
8751,2023,19376,23429,1023534,-30.7
8751,2024,16572,19853,870348,-15.0
42878,2018,39,39,2967,
42878,2019,235,236,23031,676.1
42878,2020,492,548,47461,106.1
42878,2021,436,440,51207,7.9
42878,2022,741,742,85421,66.8
42878,2023,92,95,11508,-86.5
3591,2018,652861,859244,1745725,
3591,2019,651841,848984,1751014,0.3
3591,2020,467599,645408,1574049,-10.1
3591,2021,507933,747299,1819753,15.6
3591,2022,496648,664906,1810880,-0.5
3591,2023,845103,1138083,3081884,70.2
3591,2024,804098,1070307,2409707,-21.8
52641,2020,27,34,1908,
52641,2021,249,254,27042,1317.0
52641,2022,233,239,26258,-2.9
52641,2023,342,353,35376,34.7
52641,2024,226,235,28940,-18.2
27132,2018,249,295,17954,
27132,2019,712,950,76621,326.8
27132,2020,645,840,67401,-12.0
27132,2021,857,881,83165,23.4
27132,2022,1153,1161,111758,34.4
27132,2023,1474,1499,138335,23.8
27132,2024,1490,1514,184501,33.4
13867,2018,4543,4673,221383,
13867,2019,6433,6575,267100,20.7
13867,2020,8302,8498,316791,18.6
13867,2021,9107,9361,368521,16.3
13867,2022,9971,10244,440236,19.5
13867,2023,10390,10658,427289,-2.9
13867,2024,8658,8862,359770,-15.8
1864,2018,1368,2723,1672149,
1864,2019,1293,5731,1644423,-1.7
1864,2020,2603,56951,2782220,69.2
1864,2021,3747,103994,5324956,91.4
1864,2022,3772,108508,5428505,1.9
1864,2023,4149,132919,6021225,10.9
1864,2024,3137,91208,4686123,-22.2
22805,2018,412,1930,457986,
22805,2019,354,1646,368020,-19.6
22805,2020,68,1696,41160,-88.8
22805,2021,681,4461,105476,156.3
22805,2022,1323,4595,0,-100.0
22805,2023,1222,4829,0,
22805,2024,729,1678,0,
2839,2018,5879,13592,560999,
2839,2019,12323,18936,922281,64.4
2839,2020,20863,31821,2309476,150.4
2839,2021,28833,42078,2801987,21.3
2839,2022,34542,52555,3721759,32.8
2839,2023,34211,56017,4185389,12.5
2839,2024,30091,48443,3445245,-17.7
6280,2018,2675,3320,860357,
6280,2019,2370,2900,1043790,21.3
6280,2020,1874,2251,840115,-19.5
6280,2021,2464,2897,1076241,28.1
6280,2022,2821,3361,1377150,28.0
6280,2023,3395,3457,898537,-34.8
6280,2024,3987,4065,1331737,48.2
10414,2018,1851,1859,384174,
10414,2019,2185,2210,698803,81.9
10414,2020,1406,1416,397161,-43.2
10414,2021,2012,2034,545098,37.2
10414,2022,3040,3056,673533,23.6
10414,2023,3376,3403,719305,6.8
10414,2024,2723,2737,378833,-47.3
43051,2018,275,363,3703,
43051,2019,633,836,9140,146.8
43051,2020,1166,1482,21515,135.4
43051,2021,1307,1656,35416,64.6
43051,2022,1327,1842,51457,45.3
43051,2023,1269,3060,48017,-6.7
43051,2024,1161,2285,49788,3.7
1466,2018,211,211,5146,
1466,2019,17,25,0,-100.0
1466,2020,15330,15673,1948900,
1466,2021,57651,58763,7140659,266.4
1466,2022,79635,82016,9815694,37.5
1466,2023,82711,85438,10104709,2.9
1466,2024,51816,55165,6056377,-40.1
45253,2018,1179,1181,12036,
45253,2019,1068,1073,9396,-21.9
45253,2020,1376,1389,15309,62.9
45253,2021,1162,1194,27692,80.9
45253,2022,371,385,17124,-38.2
45253,2023,1314,1353,58065,239.1
45253,2024,1206,1267,49746,-14.3
44989,2018,3618,3753,19600,
44989,2019,3938,4037,19509,-0.5
44989,2020,3193,3263,23738,21.7
44989,2021,4365,4468,28306,19.2
44989,2022,4366,4477,39472,39.4
44989,2023,2899,2950,31817,-19.4
44989,2024,2575,2625,30304,-4.8
540,2018,1838,2127,121778,
540,2019,3496,3908,164233,34.9
540,2020,18720,21607,2534183,1443.0
540,2021,177464,198321,20939507,726.3
540,2022,235937,267298,22795703,8.9
540,2023,234038,264329,26489866,16.2
540,2024,134386,153202,11366309,-57.1
23037,2018,8782,9789,192084,
23037,2019,7788,8357,199412,3.8
23037,2020,5487,6477,131444,-34.1
23037,2021,5553,6757,114001,-13.3
23037,2022,6887,8006,138412,21.4
23037,2023,7627,8711,162348,17.3
23037,2024,737,845,16412,-89.9
44801,2018,90,91,10179,
44801,2019,127,127,12935,27.1
44801,2020,147,147,17168,32.7
44801,2021,406,408,41311,140.6
44801,2022,562,570,48093,16.4
44801,2023,500,502,41900,-12.9
44801,2024,264,264,23372,-44.2
3769,2018,14660,16575,1466675,
3769,2019,20613,23685,2170877,48.0
3769,2020,16797,19116,1792583,-17.4
3769,2021,15422,17523,1644271,-8.3
3769,2022,16900,19578,1793603,9.1
3769,2023,22482,25718,2382302,32.8
3769,2024,21194,24114,2229072,-6.4
3520,2018,27583,28301,1520062,
3520,2019,26520,27024,1427434,-6.1
3520,2020,23777,24285,1185607,-16.9
3520,2021,35082,35638,1846567,55.7
3520,2022,45337,46133,2439359,32.1
3520,2023,45446,46029,2916642,19.6
3520,2024,41388,42015,3238276,11.0
2036,2018,14194,40844,2832231,
2036,2019,12952,38995,2644046,-6.6
2036,2020,22578,56759,3207000,21.3
2036,2021,47611,126673,5559863,73.4
2036,2022,38979,112747,5000721,-10.1
2036,2023,32898,88415,4062308,-18.8
2036,2024,18271,41503,2183089,-46.3
3169,2018,1441,1459,23935,
3169,2019,825,830,13658,-42.9
3169,2020,4948,7726,569625,4070.7
3169,2021,22839,37513,3199722,461.7
3169,2022,23459,39396,4518872,41.2
3169,2023,23879,40833,5564731,23.1
3169,2024,11715,18931,2232432,-59.9
46001,2018,251,587,15068,
46001,2019,401,933,23586,56.5
46001,2020,547,1251,30483,29.2
46001,2021,572,1282,32631,7.0
46001,2022,663,1361,32586,-0.1
46001,2023,581,1066,24152,-25.9
46001,2024,543,995,21990,-9.0
30578,2018,1001,1063,64264,
30578,2019,1405,1431,86744,35.0
30578,2020,955,973,61729,-28.8
30578,2021,1422,1454,100197,62.3
30578,2022,1084,1090,81581,-18.6
30578,2023,1116,1126,74010,-9.3
30578,2024,755,763,52689,-28.8
3637,2018,82339,113171,2568744,
3637,2019,121729,154850,1582149,-38.4
3637,2020,177820,213122,1733293,9.6
3637,2021,156066,186815,2299444,32.7
3637,2022,157436,187980,2042829,-11.2
3637,2023,146272,171205,2154420,5.5
3637,2024,105914,118592,1611061,-25.2
49108,2018,825,1009,16474,
49108,2019,1244,1523,20343,23.5
49108,2020,813,1025,25265,24.2
49108,2021,305,361,6870,-72.8
49108,2022,751,817,17174,150.0
49108,2023,1351,1518,28317,64.9
49108,2024,1222,1396,34477,21.8
54835,2018,1347,1571,11123,
54835,2019,2112,2501,14618,31.4
54835,2020,4711,5990,18607,27.3
54835,2021,4195,5261,13681,-26.5
54835,2022,4605,6629,14912,9.0
54835,2023,5712,7572,17944,20.3
54835,2024,4174,5507,13211,-26.4
20238,2018,2443,6653,47741,
20238,2019,3788,10268,108307,126.9
20238,2020,2453,7801,78704,-27.3
20238,2021,3304,11244,115426,46.7
20238,2022,5541,18388,238940,107.0
20238,2023,7607,25002,375287,57.1
20238,2024,7506,24956,264380,-29.6
35554,2018,124,134,449,
35554,2019,38,39,119,-73.5
35554,2020,501,595,20134,16864.9
35554,2021,2216,2677,92880,361.3
35554,2022,3559,4345,127015,36.8
35554,2023,2382,2916,77077,-39.3
35554,2024,1832,2328,46318,-39.9
42439,2018,401,443,11685,
42439,2019,2238,2415,66469,468.8
42439,2020,1732,1836,42760,-35.7
42439,2021,2197,2355,54305,27.0
42439,2022,1994,2155,49611,-8.6
42439,2023,192,200,2744,-94.5
47240,2018,273,318,2436,
47240,2019,192,208,1750,-28.2
47240,2020,39,39,380,-78.3
47240,2021,2492,3172,26617,6901.5
47240,2022,5068,6514,59255,122.6
47240,2023,3257,4036,38876,-34.4
47240,2024,2679,3161,37789,-2.8
19090,2018,3813,4718,135902,
19090,2019,5405,6844,189930,39.8
19090,2020,5796,7377,193222,1.7
19090,2021,6806,8528,195927,1.4
19090,2022,6883,9701,178201,-9.0
19090,2023,8646,12045,260874,46.4
19090,2024,6818,9457,215457,-17.4
27391,2018,2664,3601,66198,
27391,2019,3824,5241,101882,53.9
27391,2020,4010,5609,111448,9.4
27391,2021,4338,6112,121662,9.2
27391,2022,3733,5870,84788,-30.3
27391,2023,4100,6662,74192,-12.5
27391,2024,4682,7269,105165,41.7
37809,2018,218,252,6147,
37809,2019,412,467,17172,179.4
37809,2020,421,493,25642,49.3
37809,2021,376,445,25616,-0.1
37809,2022,792,1272,87303,240.8
37809,2023,824,1145,80982,-7.2
37809,2024,976,1232,68250,-15.7
31396,2018,5161,12680,156460,
31396,2019,338,486,79852,-49.0
31396,2020,265,265,70863,-11.3
31396,2021,231,258,66400,-6.3
31396,2022,211,213,69305,4.4
31396,2023,143,162,46194,-33.3
46949,2018,328,562,17990,
46949,2019,246,500,28809,60.1
46949,2020,554,908,43171,49.9
46949,2021,585,811,29987,-30.5
46949,2022,140,191,7470,-75.1
46949,2023,295,489,18724,150.6
46949,2024,601,876,23893,27.6
37923,2018,43,48,3015,
37923,2019,101,111,2744,-9.0
37923,2020,332,370,25655,835.1
37923,2021,510,542,46214,80.1
37923,2022,758,804,65404,41.5
37923,2023,804,898,83534,27.7
37923,2024,643,684,82230,-1.6
42264,2018,88,184,14445,
42264,2019,108,265,16855,16.7
42264,2020,145,454,27190,61.3
42264,2021,126,279,25000,-8.1
42264,2022,141,287,24237,-3.1
42264,2023,328,1010,99760,311.6
42264,2024,71,245,22498,-77.4
40668,2018,414,421,13852,
40668,2019,448,470,28287,104.2
40668,2020,570,589,49885,76.4
40668,2021,506,518,33076,-33.7
40668,2022,865,872,19913,-39.8
40668,2023,595,604,27520,38.2
40668,2024,972,986,83302,202.7
26560,2018,2379,2756,54709,
26560,2019,2968,3776,74154,35.5
26560,2020,4770,5299,77455,4.5
26560,2021,10089,10909,209198,170.1
26560,2022,6268,7243,123823,-40.8
26560,2023,5149,6184,88466,-28.6
26560,2024,3706,4011,84186,-4.8
51068,2018,1450,1459,14726,
51068,2019,389,390,5794,-60.7
51068,2020,794,815,13141,126.8
51068,2021,1295,1320,37972,189.0
51068,2022,1045,1066,34800,-8.4
51068,2023,521,529,18409,-47.1
51068,2024,154,158,6789,-63.1
49409,2018,4518,5142,55201,
49409,2021,59,70,0,
49409,2022,358,358,14545,
49409,2023,2068,2098,47293,225.1
49409,2024,1161,1188,29173,-38.3
50492,2018,25,25,2127,
50492,2019,36,39,2102,-1.2
50492,2020,183,207,17388,727.2
50492,2021,216,236,22485,29.3
50492,2022,300,342,33944,51.0
50492,2023,167,203,20658,-39.1
50492,2024,268,315,37706,82.5
7521,2018,12371,13256,689087,
7521,2019,14287,15676,851088,23.5
7521,2020,15937,17253,843621,-0.9
7521,2021,15030,16345,769225,-8.8
7521,2022,13859,14743,776656,1.0
7521,2023,23351,24998,1067296,37.4
7521,2024,22150,23489,952970,-10.7
32145,2018,5310,6110,50896,
32145,2019,5414,6076,61621,21.1
32145,2020,4324,4913,57356,-6.9
32145,2021,4317,4976,64159,11.9
32145,2022,4521,5260,81783,27.5
32145,2023,5722,6716,117814,44.1
32145,2024,1464,1829,27527,-76.6
49538,2018,749,816,40456,
49538,2019,897,947,45091,11.5
49538,2020,639,662,30120,-33.2
49538,2021,500,513,29357,-2.5
21197,2020,12,224,11614,
21197,2021,193,4076,231901,1896.7
21197,2022,241,6101,328206,41.5
21197,2023,180,4009,241226,-26.5
21197,2024,177,4219,310128,28.6
49951,2018,741,777,11157,
49951,2019,948,993,21211,90.1
49951,2020,796,822,19196,-9.5
49951,2021,910,940,22532,17.4
49951,2022,913,947,22821,1.3
49951,2023,710,761,20952,-8.2
49951,2024,681,698,23176,10.6
49232,2018,878,894,21148,
49232,2019,640,661,14169,-33.0
49232,2020,210,210,5787,-59.2
49232,2021,463,463,12290,112.4
49232,2022,1284,1292,33873,175.6
49232,2023,2458,2585,60596,78.9
18944,2018,1026,3486,208548,
18944,2019,428,959,57527,-72.4
18944,2020,812,2107,90969,58.1
18944,2021,928,2858,53982,-40.7
18944,2022,2174,6491,131918,144.4
18944,2023,2965,7695,420632,218.9
18944,2024,2614,6826,424982,1.0
11778,2018,2942,4274,323192,
11778,2019,4101,5677,450905,39.5
11778,2020,4380,5559,450275,-0.1
11778,2021,5451,6814,573647,27.4
11778,2022,3795,4874,401152,-30.1
11778,2023,2967,3844,329122,-18.0
11778,2024,3339,4309,622161,89.0
9705,2020,400,5100,241538,
9705,2021,1056,20640,962936,298.7
9705,2022,836,17502,984400,2.2
9705,2023,820,18311,1004065,2.0
9705,2024,868,17768,1037784,3.4
48782,2018,3729,4065,32000,
48782,2019,247,289,15219,-52.4
48782,2020,12,12,0,-100.0
48782,2021,104,110,4325,
48782,2022,431,440,18227,321.4
48782,2023,720,729,41458,127.5
48782,2024,473,483,40669,-1.9
8673,2019,2872,7792,514663,
8673,2020,6399,17408,1227804,138.6
8673,2021,5223,11899,882642,-28.1
8673,2022,4788,12146,875130,-0.9
8673,2023,5132,12429,993344,13.5
8673,2024,2391,5620,435807,-56.1
22972,2018,865,991,47815,
22972,2019,1526,1670,79486,66.2
22972,2020,2403,2540,127863,60.9
22972,2021,2425,2553,141885,11.0
22972,2022,3530,3935,207895,46.5
22972,2023,2871,3118,175012,-15.8
22972,2024,3031,3398,179718,2.7
16723,2018,2624,3025,207718,
16723,2019,2827,3650,251585,21.1
16723,2020,3451,4085,263893,4.9
16723,2021,4142,4913,307591,16.6
16723,2022,3715,4132,253949,-17.4
16723,2023,3729,4032,248605,-2.1
16723,2024,3085,3306,213776,-14.0
23977,2018,4084,4112,63193,
23977,2019,5723,5765,83965,32.9
23977,2020,6509,6538,99257,18.2
23977,2021,8502,8569,132360,33.4
23977,2022,8886,8968,153078,15.7
23977,2023,9507,9596,175920,14.9
23977,2024,8380,8443,172191,-2.1
55229,2018,1112,1207,101731,
459,2018,141392,184121,21568198,
459,2019,149024,203696,17001977,-21.2
459,2020,133492,215691,13989443,-17.7
459,2021,146676,237252,14762744,5.5
459,2022,122939,181448,11144577,-24.5
459,2023,105211,158499,9996291,-10.3
459,2024,86817,126454,8803477,-11.9
2861,2018,65521,78662,3072183,
2861,2019,58137,69629,3266062,6.3
2861,2020,42808,50800,1906157,-41.6
2861,2021,43382,51029,2059385,8.0
2861,2022,50168,58160,2545635,23.6
2861,2023,56276,66695,2756911,8.3
2861,2024,56338,64829,2221770,-19.4
4675,2018,204,2943,61034,
4675,2019,3150,15159,1071223,1655.1
4675,2020,8174,32469,2822258,163.5
4675,2021,8315,28132,2811245,-0.4
4675,2022,5211,22248,1957733,-30.4
4675,2023,3186,13517,1011469,-48.3
4675,2024,2462,13744,981598,-3.0
53507,2020,94,96,2778,
53507,2021,1128,1211,37040,1233.4
53507,2022,898,901,28349,-23.5
53507,2023,991,1002,31931,12.6
53507,2024,393,398,12938,-59.5
16051,2018,4801,8422,325153,
16051,2019,5253,8980,380782,17.1
16051,2020,4277,7208,317787,-16.5
16051,2021,3439,4945,284534,-10.5
16051,2022,2147,2854,174957,-38.5
16051,2023,2122,2787,177740,1.6
16051,2024,2047,2753,215844,21.4
18429,2019,275,308,25446,
18429,2020,1720,2616,211485,731.1
18429,2021,1850,2964,222386,5.2
18429,2022,1396,2406,206688,-7.1
18429,2023,2074,3616,432080,109.0
18429,2024,1724,2937,363735,-15.8
49525,2018,137,539,15521,
49525,2019,320,1328,43338,179.2
49525,2020,407,1486,39534,-8.8
49525,2021,406,1427,37980,-3.9
49525,2022,91,318,8743,-77.0
49564,2021,2919,3105,68847,
49564,2022,2548,2604,55956,-18.7
49564,2023,907,907,19789,-64.6
49564,2024,44,44,221,-98.9
21992,2018,2021,2094,76385,
21992,2019,2831,3028,111729,46.3
21992,2020,3820,4025,119628,7.1
21992,2021,5104,5356,187891,57.1
21992,2022,5993,6236,236067,25.6
21992,2023,4946,5190,188340,-20.2
21992,2024,3466,3654,128341,-31.9
17953,2018,1355,1498,134510,
17953,2019,1480,1590,146739,9.1
17953,2020,1963,2195,197234,34.4
17953,2021,2290,2552,244559,24.0
17953,2022,2509,2859,240702,-1.6
17953,2023,2319,2698,282359,17.3
17953,2024,2195,2472,287084,1.7
10244,2018,912,963,22195,
10244,2019,1343,1444,292688,1218.7
10244,2020,1306,1377,512380,75.1
10244,2021,1964,2058,884916,72.7
10244,2022,1714,1816,803334,-9.2
10244,2023,1823,1925,757707,-5.7
10244,2024,1645,1710,625286,-17.5
15333,2018,14410,15812,1643945,
15333,2019,3711,3991,331463,-79.8
15333,2020,704,710,6352,-98.1
15333,2021,961,971,11037,73.7
15333,2022,817,820,11478,4.0
15333,2023,847,851,20154,75.6
15333,2024,472,473,14034,-30.4
50208,2018,485,555,30578,
50208,2019,270,316,11095,-63.7
50208,2020,382,448,22442,102.3
50208,2021,562,634,17416,-22.4
50208,2022,813,883,21551,23.7
50208,2023,1064,1259,34817,61.6
50208,2024,44,46,863,-97.5
7740,2018,36421,41267,409063,
7740,2019,35546,39971,602216,47.2
7740,2020,36460,42066,665690,10.5
7740,2021,41750,46954,916440,37.7
7740,2022,44448,49563,843168,-8.0
7740,2023,43926,49461,1109615,31.6
7740,2024,39887,45353,1193180,7.5
15185,2018,4586,4868,285930,
15185,2019,5989,6592,411164,43.8
15185,2020,4106,4443,262012,-36.3
15185,2021,5382,5803,396722,51.4
15185,2022,1789,1873,153116,-61.4
15185,2023,4056,4331,189583,23.8
15185,2024,9142,10119,374385,97.5
10108,2018,336,348,268844,
10108,2019,415,751,363416,35.2
10108,2020,617,9290,536785,47.7
10108,2021,760,14659,659630,22.9
10108,2022,621,12372,645605,-2.1
10108,2023,718,14587,721226,11.7
10108,2024,692,14432,783629,8.7
42569,2023,27,27,225772,
29834,2018,600,763,30352,
29834,2019,580,714,33000,8.7
29834,2020,633,813,48763,47.8
29834,2021,1135,1382,122303,150.8
29834,2022,1177,1437,109759,-10.3
29834,2023,1438,1855,132723,20.9
29834,2024,771,971,73619,-44.5
53653,2018,1709,1779,112037,
3469,2018,4416,32595,2525329,
3469,2019,2757,23014,1720950,-31.9
3469,2020,3859,25733,1657370,-3.7
3469,2021,3954,28082,2155391,30.0
3469,2022,2018,19677,1895940,-12.0
3469,2023,4844,31320,2759129,45.5
3469,2024,4242,24409,2075143,-24.8
25812,2020,499,1206,70812,
25812,2021,1591,3528,207027,192.4
25812,2022,1812,3813,213649,3.2
25812,2023,1121,2168,127680,-40.2
25812,2024,1050,2193,139084,8.9
42914,2018,2116,2263,10356,
42914,2019,2512,2639,9839,-5.0
42914,2020,1112,1161,9789,-0.5
42914,2021,2097,2256,10217,4.4
42914,2022,4196,4476,10075,-1.4
42914,2023,5417,5974,75415,648.5
42914,2024,4513,4870,95475,26.6
3896,2018,1606,2279,78565,
3896,2019,2205,2939,98316,25.1
3896,2020,14975,19383,424781,332.1
3896,2021,104542,127003,2918052,587.0
3896,2022,128004,155402,3937450,34.9
3896,2023,122517,155615,3196913,-18.8
3896,2024,99632,130185,2342723,-26.7
13713,2018,3146,3283,526785,
13713,2019,3494,3618,487260,-7.5
13713,2020,2339,2438,284013,-41.7
13713,2021,2965,3256,377598,33.0
13713,2022,2352,2435,304335,-19.4
13713,2023,2389,2464,349371,14.8
13713,2024,1415,1441,121984,-65.1
37643,2018,283,306,18079,
37643,2019,339,350,18209,0.7
37643,2020,190,197,10032,-44.9
37643,2021,696,732,56124,459.5
37643,2022,851,897,66197,17.9
37643,2023,1339,1433,95136,43.7
37643,2024,695,743,50788,-46.6
55371,2018,99,100,5625,
55371,2019,425,434,28097,399.5
55371,2020,551,565,29267,4.2
55371,2021,730,738,37849,29.3
54304,2018,256,816,8694,
54304,2019,338,1169,18679,114.8
54304,2020,222,1139,18679,0.0
54304,2021,208,865,28342,51.7
54304,2022,96,442,7498,-73.5
54304,2023,266,1135,16079,114.4
54304,2024,702,2311,9707,-39.6
27851,2018,506,2576,59794,
27851,2019,419,2267,70484,17.9
27851,2020,511,3001,75692,7.4
27851,2021,739,4390,91683,21.1
27851,2022,543,3295,84200,-8.2
27851,2023,807,4125,121274,44.0
27851,2024,978,4731,138606,14.3
33523,2018,404,405,72390,
33523,2019,275,275,49328,-31.9
33523,2020,384,384,68605,39.1
33523,2021,420,420,75486,10.0
33523,2022,360,360,63474,-15.9
33523,2023,266,266,47933,-24.5
33523,2024,222,222,41239,-14.0
22893,2018,910,13229,169620,
22893,2019,1120,13791,178362,5.2
22893,2020,783,6493,96328,-46.0
22893,2021,1065,9388,131164,36.2
22893,2022,1158,10927,154940,18.1
22893,2023,956,10996,170816,10.2
22893,2024,381,4549,64847,-62.0
15338,2018,3214,36749,487568,
15338,2019,3079,33138,447983,-8.1
15338,2020,1413,10676,153239,-65.8
15338,2021,1151,10030,195157,27.4
15338,2022,1610,19780,373962,91.6
15338,2023,984,11653,242599,-35.1
15338,2024,476,6788,136572,-43.7
42086,2018,251,3417,52364,
42086,2019,224,4166,60799,16.1
42086,2020,78,1298,25219,-58.5
42086,2021,275,2732,47111,86.8
42086,2022,242,2063,38549,-18.2
42086,2023,26,290,7071,-81.7
42086,2024,133,380,1478,-79.1
38456,2020,402,531,8997,
38456,2021,3610,4930,92567,928.9
38456,2022,6340,8069,178920,93.3
38456,2023,645,800,18042,-89.9
15314,2018,4517,4972,150202,
15314,2019,4503,5343,208928,39.1
15314,2020,3428,4428,251408,20.3
15314,2021,3841,5625,287383,14.3
15314,2022,3530,5116,288787,0.5
15314,2023,4492,6531,362800,25.6
15314,2024,4647,7304,493286,36.0
53927,2018,241,243,42013,
53927,2019,287,291,47397,12.8
53927,2020,54,54,5930,-87.5
53927,2021,94,95,10461,76.4
53927,2022,28,28,3621,-65.4
53927,2024,13,13,739,
53469,2018,5273,5344,95228,
53469,2019,2523,2536,18071,-81.0
39958,2020,22,26,3589,
39958,2021,473,545,51670,1339.5
39958,2022,619,721,66547,28.8
39958,2023,656,785,77054,15.8
39958,2024,535,662,69811,-9.4
2340,2019,7139,39981,1454525,
2340,2020,18540,67078,4103316,182.1
2340,2021,16727,61787,3946199,-3.8
2340,2022,17414,69795,4531669,14.8
2340,2023,18514,72445,4945831,9.1
2340,2024,11552,43954,3030339,-38.7
39826,2018,104,188,18915,
39826,2019,78,132,12759,-32.5
39826,2020,47,102,13704,7.4
39826,2021,223,511,69050,403.9
39826,2022,201,384,52538,-23.9
39826,2023,165,327,44595,-15.1
39826,2024,202,477,59565,33.6
42629,2020,219,439,49456,
42629,2021,234,513,64476,30.4
42629,2022,136,311,38798,-39.8
42629,2023,171,374,44630,15.0
42629,2024,99,222,27618,-38.1
30463,2020,384,485,22077,
30463,2021,2676,3286,151680,587.1
30463,2022,3371,4091,188415,24.2
30463,2023,1566,2009,81234,-56.9
30463,2024,1476,2033,82460,1.5
23569,2018,1184,1363,32473,
23569,2019,3325,3751,125022,285.0
23569,2020,2505,2738,70336,-43.7
23569,2021,3564,3971,107507,52.8
23569,2022,5992,6472,189958,76.7
23569,2023,9492,10067,203095,6.9
23569,2024,6865,7283,181954,-10.4
296,2018,28470,184088,19272233,
296,2019,28669,195847,21208593,10.0
296,2020,28724,192375,20155076,-5.0
296,2021,27326,181939,20620527,2.3
296,2022,28948,189827,23710189,15.0
296,2023,27795,152765,26973724,13.8
296,2024,6335,21682,5746126,-78.7
24135,2018,765,1011,86536,
24135,2019,861,977,84573,-2.3
24135,2020,300,305,14146,-83.3
24135,2021,1219,1306,110671,682.4
